Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
2,3,5,5,0,0,0,4.80653910001274,1,0
2,4,7,8,1,1,1,4.68383330001961,1,-0.5
2,5,5,7,0,1,0,2.40272179991007,1,-1
2,6,8,9,0,1,1,3.08841019996908,1,-0.5
2,7,7,7,1,1,1,1.81797039997764,1,0
2,8,8,4,1,1,1,1.49249189998955,1,2
2,9,7,4,1,0,1,1.51192449999508,1,1.5
2,10,5,5,0,1,0,4.2926575000165,1,0
2,11,3,8,0,0,0,1.39198299997952,1,-2.5
2,12,9,7,0,0,1,2.51645900006406,1,1
2,13,5,9,0,0,0,1.96025230002124,1,-2
2,14,5,3,1,1,1,2.34443400008604,1,1
2,15,4,5,0,0,0,3.46225600002799,1,-0.5
2,16,4,6,0,0,0,2.0893311999971,1,-1
2,17,3,3,0,0,1,3.36220450000837,1,0
2,18,9,8,1,1,1,1.90325319999829,1,0.5
2,19,7,6,0,1,1,1.96336160006467,1,0.5
2,20,9,5,1,1,1,1.42165740008932,1,2
2,21,3,9,0,1,0,1.12148570001591,1,-3
2,22,9,4,0,0,1,1.55918730003759,1,2.5
2,23,5,4,1,1,1,3.33700309996493,1,0.5
2,24,8,8,1,1,1,1.2457027999917,1,0
2,25,9,3,0,0,1,0.822103100013919,1,3
2,26,3,6,1,1,0,2.2240623999387,1,-1.5
2,27,3,4,1,0,0,1.58984879998025,1,-0.5
2,28,8,3,1,1,1,1.09976250003092,1,2.5
2,29,5,7,0,0,0,1.39985520008486,1,-1
2,30,3,7,0,1,0,1.35668169998098,1,-2
2,31,6,7,1,1,0,6.3783425000729,1,-0.5
2,32,3,6,1,0,0,1.61644060001709,1,-1.5
2,33,7,3,1,1,1,1.48650520003866,1,2
2,34,7,3,1,0,1,1.91076269990299,1,2
2,35,3,5,1,0,0,1.435988000012,1,-1
2,36,6,5,0,1,1,1.54848660004791,1,0.5
2,37,4,5,0,1,0,2.1225421000272,1,-0.5
2,38,3,3,0,1,1,3.00857960002031,1,0
2,39,5,8,1,1,0,1.2981671000598,1,-1.5
2,40,9,6,0,1,1,3.39090890006628,1,1.5
2,41,9,5,1,0,1,1.06572630000301,1,2
2,42,3,5,1,1,0,1.33639810001478,1,-1
2,43,5,3,1,0,1,1.85158519994002,1,1
2,44,4,7,1,1,0,5.06137939996552,1,-1.5
2,45,5,6,0,0,0,2.56810929998755,1,-0.5
2,46,7,7,1,0,0,4.37808440008666,1,0
2,47,8,3,1,0,1,0.805951699963771,1,2.5
2,48,5,6,0,1,0,2.31664549990091,1,-0.5
2,49,4,9,1,1,0,1.24924729997292,1,-2.5
2,50,9,7,0,1,1,1.69145290006418,1,1
2,51,7,6,0,0,1,2.87294809997547,1,0.5
2,52,4,9,1,0,0,1.14305690000765,1,-2.5
2,53,4,6,0,1,0,1.51664829999208,1,-1
2,54,7,5,0,0,1,1.22464909998234,1,1
2,55,8,5,0,0,1,1.08894679998048,1,1.5
2,56,6,4,0,1,1,0.919790699961595,1,1
2,57,8,6,0,1,1,0.860963599989191,1,1
2,58,9,3,0,1,1,0.746963800047524,1,3
2,59,5,4,1,0,1,2.01517780008726,1,0.5
2,60,7,4,1,1,1,0.768215199932456,1,1.5
2,61,8,6,0,0,1,1.03485930000897,1,1
2,62,8,5,0,1,1,0.832987900008447,1,1.5
2,63,8,4,1,0,1,2.29304780007806,1,2
2,64,8,8,1,0,0,1.75047490000725,1,0
2,65,6,9,1,0,0,2.35608400008641,1,-1.5
2,66,5,9,0,1,0,1.36074889998417,1,-2
2,67,4,8,1,0,0,1.31822959997226,1,-2
2,68,5,8,1,0,0,0.974576900014654,1,-1.5
2,69,6,8,1,0,0,1.02994640008546,1,-1
2,70,7,8,1,0,0,1.09003640001174,1,-0.5
2,71,9,9,0,0,1,5.17712839995511,1,0
2,72,6,6,0,0,1,3.12463400000706,1,0
2,73,6,6,0,1,1,1.20944729994517,1,0
2,74,8,7,1,1,1,0.814603100065142,1,0.5
2,75,6,7,1,0,0,1.02981940004975,1,-0.5
2,76,7,5,0,1,1,1.10966880002525,1,1
2,77,7,9,0,1,0,2.06943749997299,1,-1
2,78,9,8,1,0,1,0.766558300005272,1,0.5
2,79,4,8,1,1,0,0.956930599990301,1,-2
2,80,8,7,1,0,1,0.767605899949558,1,0.5
2,81,3,8,0,1,0,1.77843999990728,1,-2.5
2,82,3,4,1,1,1,1.50980010000058,1,-0.5
2,83,4,7,1,0,0,0.959895299980417,1,-1.5
2,84,9,9,0,1,1,1.53726010001265,1,0
2,85,9,6,0,0,1,1.24279640009627,1,1.5
2,86,7,9,0,0,0,1.00161419995129,1,-1
2,87,8,9,0,0,0,1.42012150003575,1,-0.5
2,88,6,4,0,0,0,1.06568290002178,1,1
2,89,4,3,1,0,1,1.95371399994474,1,0.5
2,90,6,8,1,1,0,1.57922960002907,1,-1
2,91,4,4,0,0,1,2.10385730001144,1,0
2,92,3,7,0,0,0,1.05784850008786,1,-2
2,93,4,3,1,1,1,3.44247360003646,1,0.5
2,94,6,3,0,0,1,2.24147629993968,1,1.5
2,95,6,3,0,1,1,1.62980680004694,1,1.5
2,96,4,4,0,1,1,1.81514150009025,1,0
2,97,6,9,1,1,0,1.09256289992481,1,-1.5
2,98,9,4,0,1,1,0.737432599999011,1,2.5
3,1,7,3,1,0,1,4.03286239993758,2,2
3,2,9,7,1,0,0,1.74374109995551,2,1
3,3,5,4,1,1,0,1.42005469999276,2,0.5
3,4,9,4,0,0,1,2.86413620004896,2,2.5
3,5,6,7,0,1,0,1.43397250003181,2,-0.5
3,6,9,3,1,1,1,2.00475999992341,2,3
3,7,4,8,1,1,0,1.47568160004448,2,-2
3,8,4,4,0,0,0,1.20420989999548,2,0
3,9,3,9,1,1,0,1.62066209991463,2,-3
3,10,4,7,1,0,0,2.29770120000467,2,-1.5
3,11,5,5,1,1,0,1.06770489993505,2,0
3,12,3,4,1,1,0,0.911360399913974,2,-0.5
3,13,7,8,1,1,0,1.21506940003019,2,-0.5
3,14,8,6,1,1,0,1.35672619997058,2,1
3,15,3,7,0,1,0,1.03381579997949,2,-2
3,16,9,9,1,1,0,1.76675650000107,2,0
3,17,3,3,1,0,0,0.709786200080998,2,0
